,towns
0,Alabama[edit]
1,Auburn (Auburn University)[1]
2,Florence (University of North Alabama)
3,Jacksonville (Jacksonville State University)[2]
4,Livingston (University of West Alabama)[2]
5,Montevallo (University of Montevallo)[2]
6,Troy (Troy University)[2]
7,"Tuscaloosa (University of Alabama, Stillman College, Shelton State)[3][4]"
8,Tuskegee (Tuskegee University)[5]
9,Alaska[edit]
10,Fairbanks (University of Alaska Fairbanks)[2]
11,Arizona[edit]
12,Flagstaff (Northern Arizona University)[6]
13,Tempe (Arizona State University)
14,Tucson (University of Arizona)
15,Arkansas[edit]
16,"Arkadelphia (Henderson State University, Ouachita Baptist University)[2]"
17,"Conway (Central Baptist College, Hendrix College, University of Central Arkansas)[2]"
18,Fayetteville (University of Arkansas)[7]
19,Jonesboro (Arkansas State University)[8]
20,Magnolia (Southern Arkansas University)[2]
21,Monticello (University of Arkansas at Monticello)[2]
22,Russellville (Arkansas Tech University)[2]
23,Searcy (Harding University)[5]
24,California[edit]
25,Angwin (Pacific Union College)[2]
26,Arcata (Humboldt State University)[5]
27,"Berkeley (University of California, Berkeley)[5]"
28,"Chico (California State University, Chico)[2]"
29,"Claremont (Claremont McKenna College, Pomona College, Harvey Mudd College, Scripps College, Pitzer College, Keck Graduate Institute, Claremont Graduate University)[5]"
30,"Cotati (California State University, Sonoma)[2]"
31,"Davis (University of California, Davis)[1]"
32,"Irvine (University of California, Irvine)"
33,"Isla Vista (University of California, Santa Barbara)[2]"
34,"University Park, Los Angeles (University of Southern California)"
35,"Merced (University of California, Merced)"
36,Orange (Chapman University)
37,Palo Alto (Stanford University)
38,"Pomona (Cal Poly Pomona, WesternU)[9][10][11] and formerly Pomona College"
39,Redlands (University of Redlands)
40,"Riverside (University of California, Riverside, California Baptist University, La Sierra University)"
41,"Sacramento (California State University, Sacramento)"
42,"University District, San Bernardino (California State University, San Bernardino, American Sports University)"
43,"San Diego (University of California, San Diego, San Diego State University)"
44,San Luis Obispo (California Polytechnic State University)[2]
45,"Santa Barbara (Fielding Graduate University, Santa Barbara City College, University of California, Santa Barbara, Westmont College)[2]"
46,"Santa Cruz (University of California, Santa Cruz)[2]"
47,"Turlock (California State University, Stanislaus)"
48,"Westwood, Los Angeles (University of California, Los Angeles)[2]"
49,Whittier (Whittier CollegeRio Hondo College)
50,Colorado[edit]
51,Alamosa (Adams State College)[2]
52,Boulder (University of Colorado at Boulder)[12]
53,Durango (Fort Lewis College)[2]
54,Fort Collins (Colorado State University)[13]
55,Golden (Colorado School of Mines)
56,Grand Junction (Colorado Mesa University)
57,Greeley (University of Northern Colorado)
58,Gunnison (Western State College)[2]
59,"Pueblo, Colorado (Colorado State University-Pueblo)"
60,Connecticut[edit]
61,"Fairfield (Fairfield University, Sacred Heart University)"
62,Middletown (Wesleyan University)
63,New Britain (Central Connecticut State University)
64,"New Haven (Yale University, University of New Haven, Southern Connecticut State University, Albertus Magnus College, Quinnipiac University)[14]"
65,"New London (Connecticut College, US Coast Guard Academy, Mitchell College)[2]"
66,Storrs (University of Connecticut)[2]
67,Willimantic (Eastern Connecticut State University)[2]
68,Delaware[edit]
69,Dover (Delaware State University)[1]
70,Newark (University of Delaware)[1]
71,Florida[edit]
72,Ave Maria (Ave Maria University)
73,Boca Raton (Florida Atlantic University)
74,Coral Gables (University of Miami)
75,DeLand (Stetson University)[5]
76,Estero (Florida Gulf Coast University)
77,"Gainesville (University of Florida, Santa Fe College)"
78,Orlando (University of Central Florida)
79,"Sarasota (New College of Florida, Ringling College of Art and Design, State College of Florida, Manatee-Sarasota, University of South Florida Sarasota-Manatee)"
80,St. Augustine (Flagler College)
81,St. Leo (St. Leo University)
82,"Tallahassee (Florida State University, Florida A&M University)"
83,Tampa (University of South Florida)
84,Georgia[edit]
85,Albany (Albany State University)
86,Athens (University of Georgia)[15]
87,"Atlanta (Georgia State University, Georgia Tech, Emory)[2]"
88,Carrollton (University of West Georgia)[2]*Dahlonega (North Georgia College & State University)[2]
89,Demorest (Piedmont College)[2]
90,Fort Valley (Fort Valley State University)[2]
91,Kennesaw (Kennesaw State University)
92,Milledgeville (Georgia College & State University)[2]
93,Mount Vernon (Brewton-Parker College)[2]
94,Oxford (Oxford College)
95,"Rome (Berry College, Shorter University)"
96,"Savannah (Armstrong Atlantic State University, Savannah State University, Savannah College of Art and Design)"
97,Statesboro (Georgia Southern University)[5]
98,Valdosta (Valdosta State University)[2]
99,Waleska (Reinhardt College)[2]
100,Young Harris (Young Harris College)[2]
101,Hawaii[edit]
102,Manoa (University of Hawaii at Manoa)[2]
103,Idaho[edit]
104,Moscow (University of Idaho)[2]
105,Pocatello (Idaho State University)[2]
106,Rexburg (BYU-Idaho)[2]
107,Illinois[edit]
108,Carbondale (Southern Illinois University Carbondale)[5]
109,Champaign–Urbana (University of Illinois at Urbana–Champaign)[5]
110,Charleston (Eastern Illinois University)[2]
111,DeKalb (Northern Illinois University)[2]
112,Edwardsville (Southern Illinois University Edwardsville)[2]
113,Evanston (Northwestern University)[2]
114,Lebanon (McKendree University)[2]
115,Macomb (Western Illinois University)[2]
116,Normal (Illinois State University)[2]
117,Peoria (Bradley University)
118,Indiana[edit]
119,Bloomington (Indiana University Bloomington)[5]
120,Crawfordsville (Wabash College)
121,Greencastle (DePauw University)[5]
122,Hanover (Hanover College)[2]
123,Marion (Indiana Wesleyan University)[2]
124,Muncie (Ball State University)[2]
125,Oakland City (Oakland City University)[2]
126,Richmond (Earlham College)[2]
127,South Bend (Notre Dame University[2])
128,"Terre Haute (Indiana State University, Rose-Hulman Institute of Technology)[2]"
129,Upland (Taylor University)[2]
130,Valparaiso (Valparaiso University)
131,West Lafayette (Purdue University)[2]
132,Iowa[edit]
133,Ames (Iowa State University)[2]
134,Cedar Falls (University of Northern Iowa)[2]
135,"Cedar Rapids, Iowa (Coe College )"
136,Decorah (Luther College)[5]
137,Fayette (Upper Iowa University)[2]
138,Grinnell (Grinnell College)[15]
